aa		11
ab		123
ac		54
ad		46
ae		191
af		218
ag		215
ah		83
ai		33
aj		190
ak		220
am		89
an		63
ap		40
aq		89
ar		161
as		122
au		12
av		119
aw		94
ax		134
ay		92
az		243
ba		99
bb		94
bc		107
be		74
bf		79
bg		80
bh		60
bi		23
bj		190
bk		108
bl		37
bm		77
bn		82
bo		54
bq		119
br		53
bs		246
bt		413
bu		69
bv		210
by		43
bz		13
ca		88
cb		14
cc		24
cd		92
ce		111
cf		93
cg		78
ch		119
ci		28
cj		55
cl		41
cm		26
cq		39
cr		81
cs		108
ct		122
cu		28
cv		152
cw		179
cy		230
cz		97
da		100
db		147
dc		30
dd		106
de		92
df		37
dh		89
di		107
dk		169
dm		201
dn		32
dp		132
dq		102
dr		111
ds		40
dt		71
du		76
dv		146
dw		75
dx		84
dy		233
dz		77
eb		243
ec		28
ed		87
ee		72
ef		62
eg		59
ei		84
el		37
em		71
en		78
eo		61
ep		40
eq		95
er		82
es		106
et		94
eu		163
ew		60
ex		82
ey		108
fa		143
fb		156
fc		177
fd		78
ff		155
fg		40
fi		266
fj		185
fk		92
fn		82
fo		12
fp		57
fq		71
fr		185
ft		19
fu		239
fw		181
fx		46
fy		146
fz		158
ga		38
gb		230
gc		32
ge		182
gf		77
gh		76
gi		132
gk		266
gl		205
gn		66
gp		79
gs		34
gt		92
gu		217
gv		95
hb		24
hc		132
he		76
hg		194
hh		130
hj		171
hk		75
hl		107
hm		20
ho		324
hq		28
hr		233
ht		78
hv		27
hw		137
hx		298
hy		95
hz		38
ic		74
ie		265
if		63
ig		80
ii		110
ij		143
ik		221
il		44
im		139
in		181
io		61
iq		288
ir		153
is		120
it		117
iu		29
iw		119
ix		170
iy		71
iz		113
ja		204
jc		33
je		84
jf		267
jg		57
jh		43
ji		166
jj		261
jl		55
jm		174
jn		20
jo		161
jp		83
jr		44
js		60
jt		131
ju		97
jv		30
jy		221
jz		67
ka		63
kc		133
kd		195
kf		68
kg		186
kj		10
kk		51
kl		205
km		184
kn		110
ko		31
kq		228
ks		171
kv		32
kw		291
ky		61
kn		77
kz		185
la		97
lc		95
ld		50
le		83
lf		78
lg		65
lh		63
li		74
lj		82
lk		294
ll		250
lm		87
ln		89
lo		155
lq		134
lr		186
ls		270
lt		146
lu		184
lv		307
lw		55
lx		25
ly		86
mc		53
md		85
mf		50
mh		92
mi		50
mj		96
mk		122
ml		92
mm		215
mn		71
mo		26
mp		259
mr		135
ms		129
mt		69
mu		81
mv		90
mw		156
mx		35
mz		186
na		119
nb		122
nc		136
nd		82
ne		37
nh		116
ni		23
nj		68
nk		127
nl		71
nl		47
nm		219
nn		62
np		81
nq		61
nr		21
ns		181
nt		128
nu		176
nv		103
nw		85
oa		136
ob		83
oc		99
od		83
oe		182
of		242
og		16
oh		157
ok		112
ol		52
on		138
oo		112
op		249
oq		76
or		17
os		303
os		36
ou		152
ov		36
oy		46
oz		95
pa		83
pb		79
pc		38
pd		115
pg		110
ph		192
pi		35
pj		18
pk		97
pl		72
pm		136
pn		42
po		73
pp		75
pq		144
pr		37
ps		20
pt		87
pu		114
pv		202
py		101
pz		30
qa		88
qb		323
qc		50
qd		278
qe		121
qf		166
qg		136
qh		103
qj		92
ql		68
qm		49
qn		49
qq		31
qr		139
qs		57
qt		173
qu		36
qw		96
qy		157
rb		125
rc		75
rd		152
rf		37
rg		52
rh		209
ri		136
rl		99
rm		97
rn		94
rp		38
rr		34
rs		111
rt		46
rw		92
rx		102
sb		243
sc		22
sd		157
se		67
sf		58
sg		133
pi		35
sh		154
sj		59
sk		71
sm		59
so		24
sq		144
ss		15
st		84
sv		24
sw		170
sx		56
sy		139
sz		103
ta		27
tb		253
tc		50
td		51
te		136
tf		266
tg		82
th		148
ti		239
tj		260
tm		94
tn		73
to		57
tp		181
tt		187
tu		56
tv		74
tw		54
tw		37
tx		28
ty		170
ub		106
uc		123
ud		85
ue		20
uf		73
ug		59
ui		191
uj		95
uk		23
ul		102
ul		89
um		37
un		85
uo		218
up		19
uq		26
ur		30
us		67
ut		231
uu		55
ux		193
uz		80
va		87
vb		93
vd		77
vf		162
vg		53
vh		187
vi		73
vj		180
vk		145
vl		93
vn		189
vo		12
vp		96
vq		51
vr		37
vt		51
vt		51
vx		197
vx		85
vz		78
wa		156
wc		95
wd		17
tv		10
we		127
wf		11
wg		173
wh		48
wk		45
wl		126
wm		163
wn		44
wo		65
wq		288
wr		53
ws		95
wt		239
wu		77
wv		73
ww		12
wy		80
wz		137
xa		94
xb		94
xc		158
xf		23
xh		233
xi		55
xi		55
xj		33
xk		96
xl		249
tb		56
xn		123
xo		17
xp		36
xq		186
xr		21
xt		200
wg		29
xu		91
xv		164
xx		82
xy		97
xy		18
ya		85
yb		91
yc		121
ye		46
yg		61
yh		73
yi		34
yj		89
yk		56
ym		92
xk		67
xn		57
yo		88
yp		190
yp		29
yq		128
xq		49
xb		44
yr		69
ys		141
yt		34
yu		75
yv		126
wz		85
yg		61
yr		69
yv		48
yy		63
yz		65
za		47
zb		65
yj		89
zb		65
zd		17
ze		37
zf		71
zg		62
ya		85
zg		62
zh		95
zi		45
vj		96
xq		24
zk		171
xl		80
xo		17
zk		50
zf		29
zl		29
zn		71
zo		73
yp		73
zo		73
yp		29
yv		88
yv		48
zo		14
yp		44
zo		14
zp		14
wa		36
xf		23
yc		24
ys		54
zp		14
wa		36
xf		23
yc		24
ys		54
zr		80
zs		80
zs		80
zt		11
yt		34
zk		18
zt		11
yv		38
wz		85
yg		61
yr		69
wg		51
wm		73
wq		110
ws		22
wz		85
xh		148
xl		46
xt		83
xv		46
xx		82
yg		61
yi		11
yk		33
yr		69
yt		34
yv		38
wz		85
yg		61
yr		69
zk		18
zl		29
zt		11
yt		34
zk		18
zt		11
yv		38
wz		85
yg		61
yr		69
zu		25
wt		95
wt		95
tv		10
wy		80
xl		46
tb		56
ya		85
zg		62
ya		85
zg		62
wq		14
wr		53
xb		50
xn		66
xy		79
yb		91
yj		89
ym		21
yp		44
yv		88
yv		48
zb		65
yj		89
zb		65
zo		14
yp		44
zo		14
yv		88
yv		48
zo		14
yp		44
zo		14
ya		85
yb		91
yj		89
ym		21
yp		44
yq		87
xq		49
xb		44
yv		88
yv		48
zb		65
yj		89
zb		65
zg		62
ya		85
zg		62
zo		14
yp		44
zo		14
yv		88
yv		48
zo		14
yp		44
zo		14
zu		25
wt		95
wt		95
tv		10
wy		80
xl		46
tb		56
ya		85
zg		62
ya		85
zg		62
wq		14
wr		53
xb		50
xn		66
xy		79
yb		91
yj		89
ym		21
yp		44
yv		88
yv		48
zb		65
yj		89
zb		65
zo		14
yp		44
zo		14
yv		88
yv		48
zo		14
yp		44
zo		14
zv		157
zk		27
zv		61
zk		27
yp		29
zo		59
yp		29
zw		79
zw		79
wt		58
yi		23
zf		42
zn		11
zw		79
zw		79
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zs		80
zs		80
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
zy		15
wh		48
zy		15
wh		48
zk		76
zn		60
zy		15
wh		48
zy		15
wh		48
ye		46
yh		73
yy		63
yz		65
ze		37
zf		29
zk		126
xl		80
xo		17
zk		50
zf		29
zn		60
zy		15
wh		48
zy		15
wh		48
zk		76
zn		60
zy		15
wh		48
zy		15
wh		48
vt		51
vt		51
wa		59
wg		56
wk		45
wl		37
wm		90
wn		44
wo		65
wq		77
ws		59
xa		94
xj		33
xl		77
xp		23
xq		24
xr		21
xt		117
wg		29
xv		64
yc		97
yk		23
ym		18
yo		88
yp		146
yp		29
yq		41
ys		87
yu		75
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zk		27
zo		59
yp		29
zo		59
yp		29
zs		80
zs		80
zv		61
zk		27
zv		61
zk		27
yp		29
zo		59
yp		29
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zs		80
zs		80
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
yi		23
yk		23
ym		18
yo		88
yp		146
yp		29
yq		41
ys		87
yu		75
yy		63
yz		65
za		47
zd		17
ze		37
zf		71
zh		95
zi		45
vj		96
xq		24
zk		153
xl		80
xo		17
zk		50
zf		29
zn		71
zo		59
yp		29
zo		59
yp		29
zr		80
zs		80
zs		80
zv		157
zk		27
zv		61
zk		27
yp		29
zo		59
yp		29
zw		79
zw		79
wt		58
yi		23
zf		42
zn		11
zw		79
zw		79
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zs		80
zs		80
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
zy		15
wh		48
zy		15
wh		48
zk		76
zn		60
zy		15
wh		48
zy		15
wh		48
ye		46
yh		73
yy		63
yz		65
ze		37
zf		29
zk		126
xl		80
xo		17
zk		50
zf		29
zn		60
zy		15
wh		48
zy		15
wh		48
zk		76
zn		60
zy		15
wh		48
zy		15
wh		48
vt		51
vt		51
wa		59
wg		56
wk		45
wl		37
wm		90
wn		44
wo		65
wq		77
ws		59
xa		94
xj		33
xl		77
xp		23
xq		24
xr		21
xt		117
wg		29
xv		64
yc		97
yk		23
ym		18
yo		88
yp		146
yp		29
yq		41
ys		87
yu		75
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zk		27
zo		59
yp		29
zo		59
yp		29
zs		80
zs		80
zv		61
zk		27
zv		61
zk		27
yp		29
zo		59
yp		29
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
za		47
zd		17
zh		95
zi		45
vj		96
xq		24
zs		80
zs		80
zx		81
zx		81
zx		81
zd		17
zh		95
zs		80
zs		80
